epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,5723.4,0.56824,0.24055,0.00097,0.97493,0.94781,0.97893,0.8975,0.5102,0.19674,0.00128,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,6061.09,0.57568,0.24467,0.00098,0.98043,0.95635,0.98123,0.9024,0.50736,0.19829,0.00127,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,6400.22,0.56963,0.24233,0.00099,0.98108,0.94802,0.97687,0.89854,0.50731,0.19965,0.00128,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,6737.1,0.56786,0.23862,0.00096,0.98241,0.96054,0.98252,0.90604,0.50208,0.19699,0.00126,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,7074.18,0.56154,0.23166,0.00093,0.95954,0.95068,0.97951,0.90529,0.4985,0.19637,0.00125,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,7410.96,0.5505,0.23521,0.00092,0.97999,0.94617,0.97944,0.90607,0.49571,0.19586,0.00124,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,7748.83,0.56151,0.23444,0.00097,0.98186,0.95813,0.98222,0.90881,0.49871,0.19263,0.00124,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,8088.09,0.55159,0.23104,0.00094,0.98851,0.95551,0.98067,0.90802,0.49636,0.1923,0.00123,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,8428.24,0.55037,0.23173,0.00095,0.97461,0.96045,0.98209,0.9082,0.48838,0.19316,0.00122,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,8766.69,0.54439,0.22317,0.00094,0.98854,0.95552,0.97927,0.90565,0.48624,0.19434,0.00121,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,9107.01,0.54474,0.22569,0.00094,0.98656,0.96328,0.97893,0.90879,0.48328,0.19118,0.0012,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,9448.21,0.5455,0.22679,0.00092,0.97841,0.9545,0.9796,0.90951,0.48128,0.18923,0.0012,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,9787.88,0.54146,0.22103,0.00093,0.98285,0.95712,0.97915,0.9108,0.47924,0.18698,0.00119,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,10128.6,0.54607,0.22496,0.00093,0.97332,0.96354,0.98216,0.91296,0.47899,0.18793,0.00118,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
