[0. 0.]
[0.36067505 0.44788055]
[0.53358154 0.45697479]
[0.3637207 0.5190567]
[0.22724915 0.66283264]
[0.14413147 0.709375  ]
[0.03912048 0.78157959]
[-0.07296448  0.79745331]
[0.03954163 0.79228821]
[0.06479492 0.7629715 ]
[0.02611084 0.82014771]
[0.14598083 0.80997162]
[0.04281921 0.79289703]
[-0.01863708  0.77346649]
[0.14506226 0.87345886]
[0.11818848 0.82406616]
[0.0453064  0.83421326]
[0.06957092 0.83613129]
[0.28491516 0.71333466]
[0.18420105 0.71416473]
[0.25872803 0.72809296]
[0.16114807 0.8885788 ]
[0.21398315 0.86310577]
[0.21946106 0.9708786 ]
[0.34550781 1.02957764]
[0.28045044 1.0836853 ]
[0.24971619 1.17593842]
[0.23339844 1.26195068]
[0.34378662 1.23226013]
[0.35860596 1.28789825]
[0.2719696  1.26537018]
[0.20633545 1.31430664]
[0.19884949 1.41637421]
[0.21258545 1.40018463]
[0.36193237 1.58174744]
[0.43755493 1.61399994]
[0.40376282 1.72917023]
[0.34720154 1.83221893]
[0.28672791 1.91459808]
[0.22687683 1.89247284]
[0.20280151 1.89934235]
[0.1961853  1.98919983]
[0.22788391 2.10285187]
[0.24578552 2.17632141]
[0.3444519  2.29152985]
[0.19569397 2.40641022]
[0.21025696 2.47462158]
[0.18033447 2.58233032]
[0.26395569 2.70708466]
[0.39298401 2.74906235]
[0.42880554 2.93329239]
[0.42261658 3.02878647]
[0.38085022 3.09842148]
[0.37271118 3.22733841]
[0.46142273 3.36398849]
[0.48614197 3.47257767]
[0.61404114 3.52426529]
[0.65929871 3.57669907]
[0.73782349 3.63702316]
[0.57049866 3.79185867]
[0.52076416 3.8606102 ]
[0.50725403 3.97058945]
[0.45731506 4.0490593 ]
[0.55126343 4.13935471]
[0.44046021 4.26951981]
[0.38017578 4.42221603]
[0.3948761  4.49079056]
[0.39639282 4.55763321]
[0.44222107 4.79610672]
[0.36799622 4.9390007 ]
[0.17961121 4.97198563]
[0.15462952 5.06985855]
[0.21370239 5.16341019]
[0.24842834 5.33265305]
[0.2447876  5.47128067]
[0.22751465 5.54947739]
[0.15439453 5.54655685]
[0.16682434 5.6179451 ]
[0.1869812  5.76427231]
[0.20225525 5.95223465]
[0.11738281 5.97200546]
[0.11097717 6.07072983]
[0.11140442 6.27793121]
[-0.00986328  6.29711914]
[0.0400238  6.39654694]
[0.00806885 6.49652328]
[-0.06394348  6.42531815]
[-0.05159912  6.46698456]
[-0.0857605   6.54102249]
[-0.12068787  6.7072258 ]
[-0.0678894   6.84513474]
[-0.11618652  6.93566971]
[0.02467957 6.99906998]
[-0.16872559  7.06516571]
[-0.23128967  7.13304443]
